Date,Close Price USD
2025-08-08,116688.73
2025-08-09,116500.36
2025-08-10,119306.76
2025-08-11,118731.45
2025-08-12,120172.91
2025-08-13,123344.06
2025-08-14,118359.58
2025-08-15,117398.35
2025-08-16,117491.35
2025-08-17,117453.06
2025-08-18,116252.31
2025-08-19,112831.18
2025-08-20,114274.74
2025-08-21,112419.03
2025-08-22,116874.09
2025-08-23,115374.33
2025-08-24,113458.43
2025-08-25,110124.35
2025-08-26,111802.66
2025-08-27,111222.06
2025-08-28,112544.8
2025-08-29,108410.84
2025-08-30,108808.07
2025-08-31,108236.71
2025-09-01,109250.59
2025-09-02,111200.59
2025-09-03,111723.21
2025-09-04,110723.6
2025-09-05,110650.98
2025-09-06,110224.7
2025-09-07,111167.62
2025-09-08,112071.43
2025-09-09,111530.55
2025-09-10,113955.36
2025-09-11,115507.54
2025-09-12,116101.58
2025-09-13,115950.51
2025-09-14,115407.66
2025-09-15,115444.88
2025-09-16,116843.19
2025-09-17,116468.51
2025-09-18,117137.2
2025-09-19,115688.86
2025-09-20,115721.96
2025-09-21,115306.09
2025-09-22,112748.51
2025-09-23,112014.5
2025-09-24,113328.63
2025-09-25,109049.29
2025-09-26,109712.83
2025-09-27,109681.95
2025-09-28,112122.64
2025-09-29,114400.38
2025-09-30,114056.09
2025-10-01,118648.93
2025-10-02,120681.26
2025-10-03,122266.53
2025-10-04,122425.43
2025-10-05,123513.48
2025-10-06,124752.53
2025-10-07,121451.38
2025-10-08,123354.87
2025-10-09,121705.59
2025-10-10,113214.37
2025-10-11,110807.88
2025-10-12,115169.77
2025-10-13,115271.08
2025-10-14,113118.66
2025-10-15,110783.16
2025-10-16,108186.04
2025-10-17,106467.79
2025-10-18,107198.27
2025-10-19,108666.71
2025-10-20,110588.93
2025-10-21,108476.89
2025-10-22,107688.59
2025-10-23,110069.73
2025-10-24,111033.92
2025-10-25,111641.73
2025-10-26,114472.45
2025-10-27,114119.33
2025-10-28,112956.16
2025-10-29,110055.3
2025-10-30,108305.55
2025-10-31,109556.16
2025-11-01,110064.02
2025-11-02,110639.63
2025-11-03,106547.52
2025-11-04,101590.52
2025-11-05,103891.84
2025-11-06,101301.29
2025-11-07,103372.41
2025-11-08,102282.12
2025-11-09,104719.64
2025-11-10,105996.59
2025-11-11,102997.47
2025-11-12,101663.19
2025-11-13,99697.49
2025-11-14,94468.15
